一级意图,二级意图,意图描述,典型表达举例,隐含表达,意图边界,对应承接动作
,银行卡开户,借记卡账户开通流程,"1. 怎么开银行卡
2. 我要办一张借记卡","1. 新用户怎么开户
2. 办卡需要什么材料",不包含企业开户、信用卡申请,RAG+入口按钮
,,,,,,
导航与指引,网点查询,线下营业网点查询、营业时间查询,"“附近周末开门的网点在哪？”
“我要取20万现金，下午去取。”",,强依赖终端的定位授权（LBS）。大额取现通常有基准线（如5万以上需预约）。,请求定位权限后，推送最近营业网点地图卡片；附带“排号情况”及“大额预约”功能按钮。
,网点预约,大额取现等业务办理的预约和线上取号,,,,
,人工服务,客户显性要求人工介入，或表达了强烈的不满、投诉情绪。,"“我不想听你废话，给我转人工！”
",,需结合NLP情绪分析判断严重程度。一旦识别为“投诉”，必须绕过后续防御策略。,安抚客户情绪（话术：收到您的反馈，正在为您加急处理...），获取当前用户画像VIP层别，高优分配并转接对应的人工坐席组落座。
,建议反馈,提出建议和反馈,建议优化流程,,-,记录反馈
投诉,投诉,投诉员工/网点,"我要投诉
我要投诉线下网点乱扣费！",,-,创建工单
,业务争议,手续费、逾期费用等争议,为什么会有手续费？,,-,生成投诉单
,,,,,,
银行卡账户查询,余额与明细查询,查询某张卡的余额、流水明细。,"“我卡里还有多少钱？”
“帮我查一下上个月的流水。”
“我账户的开户行网点叫什么？”",,仅限客户名下已绑定、或已授权的账户查询。不含信用卡账单（归属信用卡意图）。,调用系统API获取脱敏数据，回复资产卡片；展示“筛选流水明细”的交互按钮。
,总资产负债查询,账户下所有资产贷款查询（活期、定期、理财产品、基金、贵金属、贷款、信用卡等）,"1. 我一共有多少资产
2. 帮我看看账户资产","1. 我有多少理财和存款
2. 总资产是多少",资产总览，非单一卡号、理财产品余额,调用资产汇总API → 返回资产结构 → 展示资产分析
,业务进度查询,查询开户、销户等审核进度,我的对公账户开到哪一步了？,,必须已发起申请,调取进度接口
,账户信息查询,账户状态、单日限额、绑定手机号等的查询。,"“我的卡为什么被冻结了？”
“今天转账提示超限额怎么办？”
“对公网银提示非柜面限制。”",,主要提供状态确认和原因排查。解除限制（如涉案冻结）多需线下尽调核实，线上仅提供指引。,返回当前账户状态/限额卡片；若存在限制，给出对应操作指引（或提供网点预约入口）。
,,,,,,
转账与支付,转账限额查询与变更,账户同行，跨行转账限额查询与变更,,,,
,支付限额查询与变更,面向不同支付方式的限额查询与变更,,,,
,快捷支付管理,管理已签约的快捷支付渠道,,,,
,生活缴费方式查询,水电气等生活缴费入口查询,,,,
,外币服务咨询,跨境汇款、购汇结汇,"美元怎么汇？
“国外打的美元怎么还没结汇入账？”",,需外汇资质,展示外汇流程
,支付账单查询,交易支付账单明细查询,500万怎么转？,,不含跨境,
,转账,发起单笔转账,“我要转5000块钱给张三。”,,不含跨境,"对话框内不直接完成密文交易，客服机器人仅负责业务引导和参数提取（收款人、金额）。
提取“收款人”“金额”槽位信息，生成并拉起“待确认付款路由”跳转至安全支付页面；代办业务推送操作指南。"
个人贷款,贷款信息查询,查询已贷未结贷款相关信息,“我的信贷客户经理是谁”,,,
,贷款政策查询,查询当前各类贷款政策、条件、利率、申请流程,,,,
,,,"“我房贷下个月还多少，能提前还一点吗？”
“我们企业想做无抵押信用贷。”
“政府专项债项目托管及贷款怎么做？”",,重合规业务。在线客服大多承担意向收集（Lead Generation）或贷后参数查询。,已贷客户：展示还款计划卡片及提前还款测算。新贷增客：多轮对话收集“主体分类/营业额”，推荐合适信贷产品，并转交客户经理跟进。
,还款查询,查询已还记录、还款计划,下个月还多少？,,已放款,调还款计划
,贷款申请进度查询,查询贷款申请审批进度,审批到哪了？,,已申请,查询接口
,提前还款,提前还款或结清,可以提前还吗？,,不含具体扣款,展示规则
,结清证明,贷款结清后结清证明的开具,,,,
,贷款续期,延期还款,还不上怎么办？,,需人工评估,转人工
,贷款申请,发起贷款申请经营贷、按揭贷款申请,我要申请经营贷,,不含进度,申请入口
,,,"“我信用卡这个月该还多少？”
“我的账单可以分期吗，手续费多少？”",,仅限信用卡类别的债务。分期费率展示需满足监管“明示年化利率”的要求。,卡片化展示本期应还款总额及最后还款日；提供“一键还款”和“账单分期试算”按钮。
信用卡,卡信息查询,账单日还款日查询,,,,
,卡信息变更,申请变更账单日还款日，自动还款设置,,,,
,交易明细查询,账单查询,,,,
,还款,还款/提前还款/逾期还款,,,,
,分期申请,最低还款和分期办理,,,,
,分期提前结清,已办理分期后提前结清还款,,,,
,额度查询,信用卡消费、提现额度查询,,,,
,额度变更,信用卡消费、提现额度变更,,,,
,权益查询,信用卡开卡礼品、获得积分查询与兑换。,"“能帮我提升一下临时额度吗？”
“信用卡积分怎么兑换里程？”",,提额受限于风控模型实时审批结果，客服仅提供入口不承诺结果。,获取该客户是否符合提额白名单限制，并返回结果或申请表单；推送积分商城活动链接。
,信用卡政策查询,当前信用卡相关政策、办理条件、流程的查询,,,,
,信用卡申请,申请办理信用卡,,,,
个人理财,个人养老金查询与办理,,,,,
,贵金属持有查询与交易,,,,,
,风险评估调整,,,,,
,理财产品咨询,,"有保本理财吗？
“现在的定期存款利率是多少？”
“协定存款结息怎么算的？”",,仅咨询,产品推荐
,理财产品购买,,我要买这个理财,,需风险测评,触发购买
,理财产品赎回,赎回规则查询,什么时候到账？,,不含投诉,展示赎回说明
,,,"“有什么保本理财推荐吗？”
“我刚工作，每月能定投点什么基金？”",,强合规边界：必须通过风险评估(KYC)后才能推荐匹配产品，绝对不能出现保本等违规承诺语。,检查用户风险等级，未过期则调用投顾系统API推荐匹配其评级的理财产品组合卡片；过期则引导做风评。
,,,"“我买的那个基金昨天亏了多少？”
“我买的理财不到期急用钱怎么取出来？”",,封闭式理财不支持赎回，只能判断是否支持二手份额转让。,生成资产分布饼扇图或收益走势预估卡片；提供合法合规的赎回操作或转让区入口。
营销活动,活动咨询,当前营销活动咨询,有什么活动？,,-,展示活动
未识别的知识查询,未识别的知识查询,,,,,
其他/闲聊/未识别,打招呼,打招呼或者只有语气词,"“你好”
“啊啊啊啊”",,猜测可能关系的问题3条,
,其他,超出银行业务范畴、语义含糊不清或多意图冲突,"
“那个长方形的机器怎么弄”
“你如何看待美伊冲突”",,核心边界：不允许直接死循环或直接转人工。 必须通过澄清反问或推荐热点来留存用户，降低坐席废单率。,"1. 尝试澄清反问：“抱歉小智还在学习中。您是想问：1-查余额 2-转人工 吗？”
2. 根据用户的标签画像（如判断是对公客户），下发猜你想要的面板卡片（如：对公账户对账、批量代发、下载客户端）。"
