一级意图,二级意图,意图描述,典型表达举例,隐含表达,意图边界,对应承接动作
,账户信息查询,账户状态、单日限额、绑定手机号等的查询。,"“我的卡为什么被冻结了？”
“今天转账提示超限额怎么办？”
“对公网银提示非柜面限制。”",,主要提供状态确认和原因排查。解除限制（如涉案冻结）多需线下尽调核实，线上仅提供指引。,RAG【零售业务】
,,,,,,
转账与支付,转账限额查询与变更,账户同行，跨行转账限额查询与变更,,,,RAG【零售业务】
,支付限额查询与变更,面向不同支付方式的限额查询与变更,,,,RAG【零售业务】
,快捷支付管理,管理已签约的快捷支付渠道,,,,RAG【零售业务】
,生活缴费方式查询,水电气等生活缴费入口查询,,,,RAG【零售业务】
,外币服务咨询,跨境汇款、购汇结汇,"美元怎么汇？
“国外打的美元怎么还没结汇入账？”",,需外汇资质,RAG【零售业务】
,支付账单查询,交易支付账单明细查询,500万怎么转？,,不含跨境,RAG【零售业务】
,转账,发起单笔转账,“我要转5000块钱给张三。”,,不含跨境,RAG【零售业务】
个人贷款,贷款信息查询,查询已贷未结贷款相关信息,“我的信贷客户经理是谁”,,,RAG【零售业务】
,贷款政策查询,查询当前各类贷款政策、条件、利率、申请流程,,,,RAG【零售业务】
,,,"“我房贷下个月还多少，能提前还一点吗？”
“我们企业想做无抵押信用贷。”
“政府专项债项目托管及贷款怎么做？”",,重合规业务。在线客服大多承担意向收集（Lead Generation）或贷后参数查询。,RAG【零售业务】
,还款查询,查询已还记录、还款计划,下个月还多少？,,已放款,RAG【零售业务】
,贷款申请进度查询,查询贷款申请审批进度,审批到哪了？,,已申请,RAG【零售业务】
,提前还款,提前还款或结清,可以提前还吗？,,不含具体扣款,RAG【零售业务】
,结清证明,贷款结清后结清证明的开具,,,,RAG【零售业务】
,贷款续期,延期还款,还不上怎么办？,,需人工评估,RAG【零售业务】
,贷款申请,发起贷款申请经营贷、按揭贷款申请,我要申请经营贷,,不含进度,RAG【零售业务】
,,,"“我信用卡这个月该还多少？”
“我的账单可以分期吗，手续费多少？”",,仅限信用卡类别的债务。分期费率展示需满足监管“明示年化利率”的要求。,RAG【零售业务】
信用卡,卡信息查询,账单日还款日查询,,,,RAG【零售业务】
,卡信息变更,申请变更账单日还款日，自动还款设置,,,,RAG【零售业务】
,交易明细查询,账单查询,,,,RAG【零售业务】
,还款,还款/提前还款/逾期还款,,,,RAG【零售业务】
,分期申请,最低还款和分期办理,,,,RAG【零售业务】
,分期提前结清,已办理分期后提前结清还款,,,,RAG【零售业务】
,额度查询,信用卡消费、提现额度查询,,,,RAG【零售业务】
,额度变更,信用卡消费、提现额度变更,,,,RAG【零售业务】
,权益查询,信用卡开卡礼品、获得积分查询与兑换。,"“能帮我提升一下临时额度吗？”
“信用卡积分怎么兑换里程？”",,提额受限于风控模型实时审批结果，客服仅提供入口不承诺结果。,RAG【零售业务】
,信用卡政策查询,当前信用卡相关政策、办理条件、流程的查询,,,,RAG【零售业务】
,信用卡申请,申请办理信用卡,,,,RAG【零售业务】
个人理财,个人养老金查询与办理,,,,,RAG【零售业务】
,贵金属持有查询与交易,,,,,RAG【零售业务】
,风险评估调整,,,,,RAG【零售业务】
,理财产品咨询,,"有保本理财吗？
“现在的定期存款利率是多少？”
“协定存款结息怎么算的？”",,仅咨询,RAG【零售业务】
,理财产品购买,,我要买这个理财,,需风险测评,RAG【零售业务】
,理财产品赎回,赎回规则查询,什么时候到账？,,不含投诉,RAG【零售业务】
,,,"“有什么保本理财推荐吗？”
“我刚工作，每月能定投点什么基金？”",,强合规边界：必须通过风险评估(KYC)后才能推荐匹配产品，绝对不能出现保本等违规承诺语。,RAG【零售业务】
,,,"“我买的那个基金昨天亏了多少？”
“我买的理财不到期急用钱怎么取出来？”",,封闭式理财不支持赎回，只能判断是否支持二手份额转让。,RAG【零售业务】
营销活动,活动咨询,当前营销活动咨询,有什么活动？,,-,RAG【零售业务】
未识别的知识查询,未识别的知识查询,,,,,RAG【所有知识库】
其他/闲聊/未识别,打招呼,打招呼或者只有语气词,"“你好”
“啊啊啊啊”",,猜测可能关系的问题3条,直接由LLM生成一句简短的回复
,其他,超出银行业务范畴、语义含糊不清或多意图冲突,"
“那个长方形的机器怎么弄”
“你如何看待美伊冲突”",,核心边界：不允许直接死循环或直接转人工。 必须通过澄清反问或推荐热点来留存用户，降低坐席废单率。,固定话术“您好，很抱歉，我只能处理银行金融相关的事务呢。”
